dagID,blockID,nodeType,reqTime
ICache 0,0,Load,85
ICache 0,1000,Load,13
ICache 0,13500,Load,22
DCache 0,4,Load,41
ICache 0,65000,Load,22
DCache 0,10,Store,3
DCache 0,12,Store,3
DCache 0,19,Store,3
DCache 0,29,Store,3
ICache 0,162500,Load,22
DCache 0,32,Store,3
DCache 0,35,Store,3
ICache 0,263500,Load,22
ICache 0,265000,Load,4
ICache 0,266000,Load,4
ICache 0,267000,Load,4
ICache 0,268000,Load,4
ICache 0,269000,Load,4
ICache 0,270000,Load,4
DCache 0,38,Store,3
ICache 0,271000,Load,4
DCache 0,41,Store,3
DCache 0,45,Store,3
DCache 0,47,Store,3
DCache 0,48,Store,3
DCache 0,77,Load,8
DCache 0,70,Store,3
DCache 0,73,Store,3
ICache 0,313000,Load,22
DCache 0,80,Load,3
DCache 0,82,Load,3
ICache 0,314000,Load,45
DCache 0,84,Load,3
DCache 0,86,Store,3
DCache 0,88,Store,44
DCache 0,93,Load,3
DCache 0,100,Store,3
DCache 0,108,Load,3
DCache 0,110,Store,3
DCache 0,115,Store,3
ICache 0,510500,Load,33
DCache 0,118,Load,32
DCache 0,121,Store,3
ICache 0,610500,Load,33
DCache 0,124,Load,32
DCache 0,130,Load,44
DCache 0,127,Store,3
dagID,blockID,nodeType,reqTime
ICache 0,0,Load,85
ICache 0,1000,Load,13
ICache 0,13500,Load,22
DCache 0,4,Load,41
ICache 0,65000,Load,22
DCache 0,10,Store,3
